reference,Category,NCSP Category (Search output),Parameter  (Search output),First,Second,Sub-category,reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards,Food Search Output (Code),Food Search Output (Description),Number of alerts,COMMENT ON FOOD CLASSIFICATION,COMMENT ON PARAMETER CLASSIFICATION,Amended FoodEx2 Code,Amended FoodEx2 Description
2023.5195,Contaminants,Tin,Tin,\btin\b,,Metals and other elements,2023.5195,"dietetic foods, food supplements and fortified foods",food,"Unauthorised substances silver, nickel, tin and bismuth in various food supplements from Austria",01-08-2023 14:24:33,Slovenia,information notification for follow-up,not serious,Slovenia,Austria,Austria,"Austria,Slovenia",Austria,,A03SJ,Food supplements and similar preparations,1,,,,
2024.4906,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4906,cephalopods and products thereof,food,Cadmium in frozen squid (Loligo edulis) from Vietnam,26-06-2024 16:09:23,Netherlands,alert notification,serious,"Austria,Belgium,Denmark,Finland,France,Germany,Hungary,Switzerland",INFOSAN,"Austria,Belgium,Denmark,Finland,France,Germany,Hungary,Switzerland,Vietnam","Netherlands,Vietnam",Vietnam,cadmium,A02JH,Squids,1,,,,
2024.4764,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4764,fish and fish products,food,Mercury and Cadmium limits in frozen swordfish loins (Xiphias gladius ) from Spain,21-06-2024 09:15:56,Italy,alert notification,serious,Italy,,Spain,"Italy,Spain",Spain,"cadmium  ,mercury",A07Y0,Swordfish,1,,,,
2024.4653,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4653,fruits and vegetables,food,Cadmium in mushrooms from Republic of North Macedonia,17-06-2024 17:30:59,Belgium,alert notification,potentially serious,"Belgium,Netherlands,United Kingdom","Croatia,United Kingdom",Netherlands,"Belgium,Croatia,Republic of North Macedonia",Republic of North Macedonia,cadmium,A0ETG,Fungi,1,,,,
2024.4259,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4259,fruits and vegetables,food,Cadmium in truffles from Iraq,03-06-2024 10:29:20,Croatia,border rejection notification,not serious,Croatia,,,Iraq,Iraq,cadmium,A00TJ,Truffles,1,,,,
2024.4237,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4237,fruits and vegetables,food,cadmium in frozen raspberries from the Netherlands,31-05-2024 12:39:30,Netherlands,alert notification,serious,"Belgium,Luxembourg,Netherlands,Nigeria,United Kingdom","INFOSAN,Nigeria","Belgium,Luxembourg,Netherlands","Belgium,Netherlands",Netherlands,cadmium,A01EP,Raspberries (red and yellow),1,,,,
2024.4061,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.4061,fruits and vegetables,food,"Detection of cadmium in avocado from Peru, via Spain",24-05-2024 17:02:11,France,alert notification,potentially serious,"France,Spain,Switzerland",INFOSAN,"Peru,Spain,Switzerland","France,Peru,Spain",Peru,cadmium,A01LB,Avocados,1,,,,
2024.3799,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3799,fruits and vegetables,food,Detection of cadmium in mangosteen from Colombia,14-05-2024 15:01:58,France,information notification for attention,potentially serious,France,INFOSAN,,Colombia,Colombia,cadmium,A01JX,Mangosteens,1,,,,
2024.3621,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3621,fish and fish products,food,Detection of cadmium in squid from Spain (fished in Portuguese waters),07-05-2024 11:16:59,France,information notification for attention,potentially serious,"France,Italy,Spain",,,Spain,Spain,,A026V,Fish (meat),1,,,,
2024.3605,Contaminants,Cadmium,Cadmium,cadmi,,Metals and other elements,2024.3605,"nuts, nut products and seeds",food,Cadmio en semillas de girasol de Estados Unidos. Cadmium in sunflower seeds from the United States,07-05-2024 09:22:52,Spain,information notification for attention,potentially serious,,United States,,"Spain,United States",United States,cadmium,A015L,Sunflower seeds,1,,,,
